angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.23,"[139, 78, 73, 95]",0.0,0.06,0.03,0.27,0.4,0.0
0.16,"[139, 78, 73, 96]",0.0,0.03,0.03,0.25,0.52,0.0
0.15,"[140, 78, 74, 95]",0.0,0.05,0.02,0.23,0.55,0.0
0.13,"[140, 78, 73, 96]",0.0,0.05,0.01,0.25,0.56,0.0
0.18,"[140, 77, 72, 96]",0.0,0.05,0.02,0.24,0.5,0.0
0.17,"[142, 78, 70, 94]",0.0,0.06,0.01,0.2,0.55,0.0
0.17,"[142, 78, 70, 94]",0.0,0.06,0.02,0.21,0.54,0.0
0.21,"[142, 78, 70, 94]",0.0,0.06,0.02,0.2,0.51,0.0
0.22,"[141, 78, 71, 94]",0.0,0.07,0.02,0.21,0.49,0.0
0.17,"[141, 77, 73, 96]",0.0,0.04,0.01,0.16,0.62,0.0
0.14,"[141, 77, 73, 95]",0.0,0.06,0.01,0.19,0.6,0.0
0.18,"[141, 77, 74, 96]",0.0,0.05,0.01,0.26,0.5,0.0
0.21,"[141, 77, 74, 96]",0.0,0.05,0.01,0.21,0.52,0.0
0.17,"[141, 77, 73, 93]",0.0,0.05,0.0,0.28,0.5,0.0
0.25,"[141, 77, 72, 91]",0.0,0.02,0.0,0.38,0.36,0.0
0.11,"[142, 79, 70, 89]",0.0,0.05,0.05,0.25,0.54,0.0
0.12,"[142, 82, 69, 88]",0.01,0.02,0.12,0.15,0.59,0.0
0.1,"[143, 82, 68, 87]",0.0,0.03,0.2,0.09,0.57,0.0
0.04,"[143, 78, 69, 89]",0.0,0.02,0.7,0.14,0.1,0.0
0.05,"[141, 77, 71, 91]",0.0,0.01,0.64,0.17,0.13,0.0
0.06,"[142, 78, 70, 89]",0.0,0.01,0.69,0.14,0.1,0.0
0.01,"[142, 77, 70, 88]",0.0,0.01,0.86,0.09,0.03,0.0
0.01,"[142, 77, 70, 89]",0.0,0.0,0.87,0.09,0.03,0.0
